Var,1y,3y,5y,7y,10y,15y,20y,30y
FederalFundsRateFactor,-0.08099,-0.0497,-0.047,-0.03824,-0.04185,-0.03055,-0.03603,-0.02581
,0.19469,0.09714,0.05374,0.0598,0.04459,0.10141,0.05066,0.14694
ForwardGuidanceFactor,-0.02439,-0.02417,-0.02383,-0.02072,-0.01727,-0.0151,-0.01369,-0.0125
,0.04993,0.00014,1e-05,0,9e-05,0.00013,0.00036,0.00075
LSAPFactor,0.0243,0.00107,-0.01809,-0.02183,-0.02037,-0.0165,-0.01225,-0.01069
,0.46068,0.9455,0.1576,0.04373,0.06461,0.09596,0.20446,0.25565
x_LSAPFactor,0,0,0,0,0,0,0,0
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
R^2,0.14939,0.33026,0.40668,0.42937,0.34988,0.3239,0.30153,0.26033
RMSE,0.06929,0.03302,0.02669,0.02228,0.02278,0.02056,0.02018,0.01969
nObs,46,46,46,46,46,46,46,46
