Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
FederalFundsRateFactor,0.01216,0.19944,0.62762,1.05204,1.1853,-1.22761,-1.01973,-0.62106,-0.25815,-0.08629
,0.6071,0.07346,0.06785,0.09124,0.1529,0.15802,0.24233,0.3115,0.38076,0.48543
ForwardGuidanceFactor,0.0084,0.09552,0.2989,0.51917,0.6219,-0.64874,-0.57264,-0.36157,-0.15092,-0.05105
,0.07593,6e-05,5e-05,9e-05,0.00036,0.00039,0.00156,0.00416,0.01181,0.0402
LSAPFactor,-0.0085,0.07615,0.29099,0.52757,0.63598,-0.66503,-0.57384,-0.33184,-0.09797,-0.00108
,0.49907,0.19391,0.10919,0.1101,0.1488,0.15004,0.21584,0.30859,0.53013,0.98688
x_LSAPFactor,0,0,0,0,0,0,0,0,0,0
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
R^2,0.10007,0.34675,0.35659,0.33523,0.28567,0.28323,0.23078,0.19181,0.14985,0.10617
RMSE,0.02646,0.12245,0.37743,0.6861,0.91797,0.96289,0.96953,0.6836,0.32862,0.13826
nObs,46,46,46,46,46,46,46,46,46,46
