Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
Conference Board Consumer Confidence SA 1985=100,-0.00668,-0.03391,-0.07539,-0.09426,-0.06639,0.06618,0.02473,0.00933,0.01237,0.01164
,0.76719,0.26656,0.04415,0.02626,0.07787,0.08745,0.43927,0.67347,0.39196,0.26098
Federal Funds Target Rate - Upper Bound,-2.22731,-5.60317,-10.20017,-11.61998,-7.31817,6.49054,0.85843,-1.11091,-0.42539,0.01372
,0.62596,0.36497,0.17871,0.176,0.3372,0.40789,0.89458,0.80449,0.88451,0.99478
GDP US Chained 2012 Dollars QoQ SAAR,-0.57392,-0.64922,-0.59897,-0.37686,-0.03732,0.02781,-0.20108,-0.17133,-0.0361,0.00605
,0.42583,0.5056,0.6164,0.78068,0.97524,0.98206,0.84396,0.8087,0.9377,0.98541
ISM Manufacturing PMI SA,-0.01405,-0.03049,-0.10885,-0.18533,-0.19123,0.19388,0.13835,0.07051,0.02445,0.01124
,0.82815,0.72782,0.31103,0.12775,0.07692,0.08122,0.13199,0.26765,0.55572,0.70522
US CPI Urban Consumers MoM SA,-1.56671,-2.81898,-5.33393,-8.91357,-12.66135,12.23021,14.67311,14.68584,12.22368,8.18444
,0.12089,0.03929,0.0015,0,0,0,0,0,0,0
US Durable Goods New Orders Industries MoM SA,-0.00265,-0.01799,-0.04809,-0.06363,-0.04356,0.04166,0.01055,-0.00069,0.00313,0.00538
,0.96402,0.82081,0.62138,0.56379,0.65637,0.67912,0.89908,0.99043,0.93369,0.84168
US Employees on Nonfarm Payrolls Total MoM Net Change SA,-0.00046,-0.00062,-0.0006,-0.00043,-0.00022,0.00021,6e-05,-1e-05,-1e-05,0
,3e-05,4e-05,0.00115,0.0402,0.24349,0.26731,0.72563,0.96181,0.93759,0.98688
US Initial Jobless Claims SA,-0.00172,-0.00049,-0.00012,-0.0003,-0.00035,0.00021,9e-05,1e-05,-0,-0
,0,0.25106,0.81606,0.61896,0.51112,0.70225,0.84948,0.98648,0.98629,0.99895
University of Michigan Consumer Sentiment Index,0.0445,0.07433,-0.03773,-0.19012,-0.24821,0.24675,0.2009,0.11438,0.0404,0.00572
,0.6902,0.62271,0.83857,0.3647,0.18287,0.19795,0.20453,0.29699,0.57236,0.91114
R^2,0.05505,0.02877,0.0315,0.04083,0.0724,0.06462,0.11285,0.20457,0.2933,0.26623
RMSE,1.14131,1.54453,1.89369,2.14381,1.90419,1.95855,1.61814,1.12093,0.73149,0.52396
nObs,874,874,874,874,874,874,874,874,874,874
