Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
Adjusted Retail & Food Services Sales SA Total Monthly % Change,0.03886,-0.06416,-0.14341,-0.14547,-0.0678,0.03976,-0.04718,-0.07689,-0.06202,-0.04204
,0.65913,0.58671,0.32045,0.37221,0.64293,0.79191,0.71229,0.38192,0.2118,0.18542
Conference Board Consumer Confidence SA 1985=100,-0.00726,-0.03601,-0.07899,-0.09777,-0.06722,0.068,0.02237,0.00343,0.00531,0.00618
,0.7482,0.23469,0.03316,0.0196,0.07353,0.07898,0.49577,0.87904,0.67686,0.44777
Federal Funds Target Rate - Upper Bound,-2.18134,-5.52489,-10.12135,-11.57736,-7.33644,6.49982,0.93523,-0.9837,-0.29177,0.10347
,0.62768,0.35931,0.16973,0.16436,0.3259,0.39837,0.88614,0.82655,0.90837,0.94908
GDP US Chained 2012 Dollars QoQ SAAR,-0.62776,-0.75339,-0.7484,-0.51681,-0.09367,0.0798,-0.24611,-0.2588,-0.11191,-0.03683
,0.37619,0.42797,0.51956,0.69374,0.93659,0.94757,0.81116,0.7147,0.77953,0.88539
ISM Manufacturing PMI SA,-0.01415,-0.03079,-0.10913,-0.18463,-0.18711,0.19297,0.12936,0.05034,-0.00153,-0.00933
,0.82492,0.71946,0.29787,0.11904,0.07832,0.07813,0.16403,0.43058,0.96617,0.68568
Philadelphia Fed Business Outlook Survey Diffusion Index Genera,-0.01075,-0.00622,-0.01145,-0.0148,-0.00492,0.00837,-0.00532,-0.00956,-0.00579,-0.00118
,0.3179,0.66599,0.5158,0.45724,0.78284,0.64939,0.73338,0.37317,0.33947,0.76064
US CPI Urban Consumers Less Food & Energy MoM SA,-1.93054,-4.8909,-9.74105,-14.36567,-16.41679,16.35888,15.30605,12.11598,8.25634,4.97838
,0.05907,0.00037,0,0,0,0,0,0,0,0
US Durable Goods New Orders Industries MoM SA,-0.00179,-0.017,-0.0446,-0.05709,-0.03588,0.03319,0.00308,-0.00617,-0.00044,0.00304
,0.9752,0.82606,0.63721,0.59302,0.7081,0.73684,0.97066,0.91477,0.9893,0.8836
US Employees on Nonfarm Payrolls Total MoM Net Change SA,-0.00046,-0.00062,-0.0006,-0.00043,-0.00022,0.00021,5e-05,-1e-05,-1e-05,0
,2e-05,2e-05,0.00078,0.03358,0.23286,0.25747,0.73111,0.9554,0.92394,0.97344
US Initial Jobless Claims SA,-0.00169,-0.00048,-0.0001,-0.00028,-0.00034,0.00019,8e-05,0,-1e-05,-0
,0,0.25782,0.83991,0.63554,0.51839,0.7277,0.86393,0.9912,0.9732,0.98407
US PPI Final Demand Less Foods and Energy MoM SA,-1.58702,-1.31286,-0.82167,-0.31634,0.06547,0.1667,-0.00891,-0.00166,0.04804,0.02165
,0.00085,0.03903,0.29037,0.71848,0.93372,0.83723,0.98968,0.99719,0.85738,0.89916
University of Michigan Consumer Sentiment Index,0.04527,0.07498,-0.03879,-0.19426,-0.25631,0.25369,0.21238,0.12979,0.05609,0.01664
,0.68241,0.61298,0.83053,0.34274,0.16307,0.18039,0.18643,0.24007,0.36852,0.67623
R^2,0.06309,0.04029,0.05471,0.07187,0.09759,0.09165,0.10221,0.12916,0.17624,0.15984
RMSE,1.12347,1.50529,1.84053,2.07878,1.86505,1.92226,1.63163,1.12144,0.63326,0.40471
nObs,989,989,989,989,989,989,989,989,989,989
