Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
Conference Board Consumer Confidence SA 1985=100,-0.00098,-0.00688,-0.01835,-0.02977,-0.03446,0.03529,0.0313,0.02147,0.0114,0.00545
,0.54727,0.14536,0.09028,0.07182,0.06707,0.06865,0.0809,0.08898,0.07923,0.0674
Federal Funds Target Rate - Upper Bound,-0.02059,-0.15325,-0.41501,-0.61612,-0.58412,0.58965,0.39039,0.18734,0.05862,0.0119
,0.95083,0.87489,0.8524,0.85638,0.88013,0.88252,0.91577,0.94252,0.96502,0.98452
GDP US Chained 2012 Dollars QoQ SAAR,0.00972,0.0141,0.01597,0.00752,-0.01109,0.01346,0.02278,0.00979,-0.00914,-0.01405
,0.8535,0.92681,0.96379,0.98883,0.98551,0.98294,0.96878,0.98093,0.9654,0.8845
ISM Manufacturing PMI SA,-0.00377,-0.01103,-0.02814,-0.05349,-0.07745,0.08063,0.08481,0.06192,0.03073,0.01242
,0.42512,0.42404,0.37343,0.26762,0.15837,0.15405,0.10511,0.09285,0.10493,0.15316
US CPI Urban Consumers MoM SA,-0.03667,-0.19214,-0.56951,-1.094,-1.5437,1.60242,1.65,1.19488,0.59637,0.24468
,0.61902,0.37165,0.24797,0.146,0.07148,0.06934,0.04326,0.03761,0.04365,0.07124
US Durable Goods New Orders Industries MoM SA,-0.0015,-0.00492,-0.01171,-0.0198,-0.02539,0.02614,0.02524,0.01747,0.00826,0.00305
,0.72648,0.69392,0.68278,0.65061,0.60974,0.60992,0.59438,0.60058,0.63032,0.69893
US Employees on Nonfarm Payrolls Total MoM Net Change SA,-0,-5e-05,-0.00016,-0.00023,-0.0002,0.0002,0.00011,5e-05,2e-05,1e-05
,0.57971,0.02228,0.00389,0.00586,0.03589,0.03934,0.2083,0.44363,0.53862,0.53021
US Initial Jobless Claims SA,-0.00019,-0.00051,-0.00095,-0.00114,-0.00085,0.00082,0.00035,9e-05,4e-05,3e-05
,0,0,0,0,0.00179,0.00318,0.17902,0.62305,0.67647,0.54253
University of Michigan Consumer Sentiment Index,-0.01901,-0.08223,-0.19633,-0.2659,-0.21622,0.21608,0.10885,0.03844,0.01384,0.00626
,0.01999,0.00057,0.00033,0.00143,0.02252,0.02687,0.22758,0.54483,0.67165,0.67625
R^2,0.07908,0.08152,0.06859,0.05238,0.03169,0.03009,0.01692,0.01311,0.01225,0.01114
RMSE,0.08339,0.24312,0.55716,0.85032,0.96747,0.99665,0.92195,0.649,0.33385,0.15322
nObs,875,875,875,875,875,875,875,875,875,875
